WCAG Kriterium,Tools,Häufigkeit,CSS Selektor
WCAG 3.1.1,"Pa11y, Axe-core, Lighthouse",3,"html"
WCAG 1.1.1,"Pa11y, Lighthouse",51,"#page > table > tbody > tr > td > table > tbody > tr:nth-child(1) > td:nth-child(1) > img"
WCAG 4.1.2,"Pa11y, Axe-core, Lighthouse",3,"#page > table > tbody > tr > td > table > tbody > tr:nth-child(2) > td:nth-child(2) > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(5) > select"
WCAG 1.1.1,"Pa11y, Lighthouse",2,"#home > a"
WCAG 1.1.1,"Pa11y, Lighthouse",2,"#news > a"
WCAG 1.1.1,"Pa11y, Lighthouse",2,"#tickets > a"
WCAG 1.1.1,"Pa11y, Lighthouse",2,"#survey > a"
WCAG 1.1.1,"Pa11y, Lighthouse",9,"#content > div:nth-child(2) > div:nth-child(1) > img"
WCAG 1.4.3,"Pa11y, Lighthouse",4,"#page > table > tbody > tr > td > table > tbody > tr:nth-child(2) > td:nth-child(2) > table:nth-child(2) > tbody > tr > td:nth-child(5) > table > tbody > tr:nth-child(2) > td > font > b"
WCAG 1.3.1,"Axe-core, Lighthouse",2,"html"
WCAG 2.4.4,"Axe-core, Lighthouse",2,"#home > a[onfocus=""blur();""]"
WCAG 2.4.4,"Axe-core, Lighthouse",2,"#news > a[onfocus=""blur();""]"
WCAG 2.4.4,"Axe-core, Lighthouse",2,"#tickets > a[onfocus=""blur();""]"
WCAG 2.4.4,"Axe-core, Lighthouse",2,"#survey > a[onfocus=""blur();""]"
