WCAG Kriterium,Tools,Häufigkeit,CSS Selektor
WCAG 1.3.1,"Pa11y",1,"#page > table > tbody > tr > td > table > tbody > tr:nth-child(2) > td:nth-child(2) > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(5) > select"
WCAG 1.4.3,"Axe-core",2,"tr[height=""25px""]:nth-child(2) > td[bgcolor=""#A9B8BF""][width=""150px""] > font[color=""#41545D""][size=""2""] > b"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_left_top.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_top.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_right_top.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_left.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""top_logo_next_end.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""top_weather.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""top_logo_next_start.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""mark.gif""]"
WCAG 1.1.1,"Axe-core",1,"td[colspan=""5""][background=""./img/marker2_w.gif""][width=""780px""] > img[src$=""marker2_w.gif""][width=""78px""][height=""1px""]"
WCAG 1.1.1,"Axe-core",1,"td[width=""155px""][background=""./img/marker2_w.gif""] > img[src$=""marker2_w.gif""][width=""78px""][height=""1px""]"
WCAG 1.1.1,"Axe-core",1,"img[width=""1""]"
WCAG 1.1.1,"Axe-core",1,"img[name=""nav_home""]"
WCAG 1.1.1,"Axe-core",4,"tr[height=""1px""]:nth-child(3) > td[width=""154px""][background=""./img/marker2_w.gif""] > img[src$=""marker2_w.gif""][width=""78px""][height=""1px""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""nav_news.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[name=""nav_facts""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""nav_survey.gif""]"
WCAG 1.1.1,"Axe-core",2,"td[width=""20px""]:nth-child(2) > img[src$=""blank_5x5.gif""][height=""5px""][width=""20px""]"
WCAG 1.1.1,"Axe-core",3,".newsheadline:nth-child(1) > img[src$=""headline_middle.gif""][width=""23""][height=""24""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""marker2_t.gif""][height=""30px""][width=""1px""]"
WCAG 1.1.1,"Axe-core",1,"td[width=""151px""][background=""./img/marker2_w.gif""] > img[src$=""marker2_w.gif""][width=""78px""][height=""1px""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""teaser_right1.jpg""]"
WCAG 1.1.1,"Axe-core",1,"td[background=""./img/marker2_w.gif""][width=""150px""] > img[src$=""marker2_w.gif""][width=""78px""][height=""1px""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""teaser_right2.jpg""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_right.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_bottom_left.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_bottom.gif""]"
WCAG 1.1.1,"Axe-core",1,"img[src$=""border_bottom_right.gif""]"
WCAG 2.4.4,"Axe-core",3,".story:nth-child(1) > span > a[href$=""news.html""][onfocus=""blur();""]"
WCAG 1.3.1,"Axe-core",1,"#logos"
WCAG 1.3.1,"Axe-core",1,"h1"
WCAG 1.3.1,"Axe-core",1,".subline"
WCAG 1.3.1,"Axe-core",1,"#mnav"
WCAG 1.3.1,"Axe-core",1,"#startcontent"
WCAG 1.3.1,"Axe-core",2,"tr[height=""10px""]:nth-child(1)"
WCAG 1.3.1,"Axe-core",1,"td[background=""./img/border_left.gif""]"
WCAG 1.3.1,"Axe-core",1,"table[height=""144px""]"
WCAG 1.3.1,"Axe-core",1,"td[bgcolor=""#E4E4E4""]"
WCAG 1.3.1,"Axe-core",2,"td[width=""20px""]:nth-child(2)"
WCAG 1.3.1,"Axe-core",1,".headline"
WCAG 1.3.1,"Axe-core",1,"#main > p:nth-child(2)"
WCAG 1.3.1,"Axe-core",2,".newsbar:nth-child(2)"
WCAG 1.3.1,"Axe-core",1,".subheadline"
WCAG 1.3.1,"Axe-core",1,"p:nth-child(7)"
WCAG 1.3.1,"Axe-core",1,"td[width=""151px""][valign=""TOP""]"
WCAG 1.3.1,"Axe-core",1,"table[height=""17px""][bgcolor=""#EDEDED""][cellpadding=""0px""]"
WCAG 1.3.1,"Axe-core",1,"td[background=""./img/border_right.gif""]"
WCAG 1.3.1,"Axe-core",1,"#meta-footer"
WCAG 1.1.1,"Lighthouse",1,"tr > td > div > img"
WCAG 2.4.4,"Lighthouse",3,"div.newsbar > div.story > span > a"
WCAG 2.5.5,"Lighthouse",1,"div.subnav > ul > li.inaccessible > a.report"
WCAG 2.5.5,"Lighthouse",1,"div.subnav > ul > li.accessible > a.report"
